"p","K","rho_across","Method","Metric","Median","Q25","Q75"
10,2,0.1,"Bayesian GL","log_score",-0.748685366045081,-1.2630534012333,-0.569401518320793
10,2,0.1,"Adaptive Bayesian GL","mse",0.0180413882506858,0.0138334562794513,0.0255817540181958
10,2,0.1,"Adaptive Bayesian GL","log_score",-0.694571409077013,-1.30254671863471,-0.574001938166084
10,2,0.1,"Bayesian FGL","mse",0.0271894736965074,0.0208987199037506,0.0347433818527093
10,2,0.1,"Bayesian FGL","log_score",-0.78162411023304,-1.22680251654487,-0.556857191556847
20,2,0.1,"Sample Cov. Inverse","mse",0.0231887970823973,0.016894523600537,0.0307666536805331
20,2,0.1,"Sample Cov. Inverse","log_score",-0.94672048326292,-1.46297745894726,-0.692172543106671
20,2,0.1,"Inverse-Wishart","mse",0.0355763524727561,0.0302499004334836,0.0391909128841533
20,2,0.1,"Inverse-Wishart","log_score",-0.995680504589763,-1.40728435535534,-0.699760652002553
20,2,0.1,"Bayesian GL","mse",0.0236741210283254,0.0207549391758139,0.0270792115637217
20,2,0.1,"Bayesian GL","log_score",-0.959170268878879,-1.36818568816374,-0.707876150862321
20,2,0.1,"Adaptive Bayesian GL","mse",0.0186892428597029,0.0154602818738811,0.023216622318397
20,2,0.1,"Adaptive Bayesian GL","log_score",-0.865147409393767,-1.42471411756416,-0.706431070954967
20,2,0.1,"Bayesian FGL","mse",0.0238232603656782,0.021369742435198,0.0271966302118941
20,2,0.1,"Bayesian FGL","log_score",-0.891937612103131,-1.29543952621878,-0.689422775796249
30,2,0.1,"Sample Cov. Inverse","mse",0.0292248947963889,0.023454438289543,0.0378946662383567
30,2,0.1,"Sample Cov. Inverse","log_score",-0.809912288306445,-1.84623317880536,-0.397985154402221
30,2,0.1,"Inverse-Wishart","mse",0.0385706833184087,0.035334825495897,0.045254459135023
30,2,0.1,"Inverse-Wishart","log_score",-0.74834772145432,-1.56336161806769,-0.464506449674054
30,2,0.1,"Bayesian GL","mse",0.0199870535198538,0.0185988781242349,0.0223289714065001
30,2,0.1,"Bayesian GL","log_score",-0.683089669219392,-1.08568133117377,-0.42711507912581
30,2,0.1,"Adaptive Bayesian GL","mse",0.0168768593064834,0.0156784441216757,0.0184052031013635
30,2,0.1,"Adaptive Bayesian GL","log_score",-0.649628724928829,-1.12029561539831,-0.483518489996769
30,2,0.1,"Bayesian FGL","mse",0.0208470661756841,0.0188559232383712,0.0223753455434225
30,2,0.1,"Bayesian FGL","log_score",-0.615624213908066,-1.19448210751171,-0.453713953432476
