"k_max","msfe_ratio","mean_log_score","hit_cap_pct","median_k","mean_runtime_sec"
10,0.689585987309633,-3.84707503018652,100,10,28.5800497379709
15,0.734528662818718,-3.84112734133337,100,15,56.4990641918588
20,0.74432164530605,-3.73996796542909,93.6170212765958,20,89.7096153776696
30,0.702590310896565,-3.84820874801679,29.7872340425532,21,128.342159631404
