"half_life_years","delta","msfe","msfe_ratio","mean_log_score"
2,0.917,199.4844,5.1718,-10.4911
3,0.9439,207.2017,5.3719,-4.9181
4,0.9576,45.7272,1.1855,-4.0585
5,0.9659,33.6663,0.8728,-3.7788
6,0.9715,33.0708,0.8574,-3.7873
7,0.9755,33.1216,0.8587,-3.7408
8,0.9786,31.223,0.8095,-3.9151
