"date","y_actual","y_forecast","sigma"
2012,-0.5,1.25404156884523,0.947050299983764
2012.25,-0.9,0.315532171218629,0.972889892314997
2012.5,-1,-0.321639203343658,0.964789928970172
2012.75,-1.2,-1.1767006826639,0.955829160378895
2013,-1.2,-0.995530718293343,0.945530480482552
2013.25,-0.2,0.406617091211263,0.909712851166056
2013.5,0.2,0.4723618374512,0.898463649457485
2013.75,0.8,0.853260738145583,0.904176176978313
2014,1.6,0.570998187552093,0.905273200303486
2014.25,1.2,0.786490404527606,0.91107837696678
2014.5,1.4,0.872754674425997,0.88826466929809
2014.75,1.6,0.574315089458428,0.903711011580946
2015,1.9,0.539420871003584,0.899626809781102
2015.25,2.1,0.394095918160334,0.899988300533002
2015.5,2,0.619649721953329,0.901275691966483
2015.75,2.1,1.4778686781008,0.878307825223221
2016,1.8,1.86396561436414,0.873307484828949
2016.25,1.6,2.12196817129144,0.87917377357558
2016.5,1.7,2.11738160116779,0.871284984355005
2016.75,1.9,1.34323149045279,0.869600689165503
2017,2.3,-0.0236360251760255,0.8787020726486
2017.25,2.8,0.767394805806291,0.896334175380656
2017.5,3,1.76276342324314,0.909026972287183
2017.75,3.1,2.31605554025562,0.92749286175637
2018,2.3,2.88835728851942,0.9061012893226
2018.25,2.1,2.28505629824185,0.915840134120287
2018.5,1.5,2.84343829818009,0.917736874607606
2018.75,1.2,2.65660562402732,0.913349919999028
2019,1.9,2.26844223071822,0.885992678917783
2019.25,1.7,1.79056192907395,0.90526418011526
2019.5,1.8,1.53392316517219,0.884083177462973
2019.75,1.2,0.879093161471484,0.876951213473838
2020,-2.8,0.989494973270748,0.866609837492167
2020.25,-13.9,0.252027762968878,0.935063245382538
2020.5,-4.2,-0.84739750548537,1.6449491457662
2020.75,-3.7,4.54968160241475,1.68487094301955
2021,0.3,-1.50503713663944,1.6854306521264
2021.25,15.3,1.35970970329432,1.62599939367041
2021.5,5.2,0.174567382633383,1.66931596286369
2021.75,5.6,4.22504316951856,1.60532275337797
2022,5.6,5.35210430000535,1.62226226753985
2022.25,4.3,-1.12239366051942,1.60124121591672
2022.5,3,-1.02394320738375,1.6288733279528
2022.75,2.1,1.81621671531407,1.64096898655025
2023,1.3,1.17836803207549,1.66313354683083
2023.25,0.6,-1.89006489780571,1.65404254060986
2023.5,0.2,-1.5013731020529,1.64379282839653
2023.75,0.3,-1.04099598855275,1.62100502010519
2024,0.6,0.195508120498687,1.64148831699617
2024.25,0.6,0.172993230662186,1.64069452648429
2024.5,1.1,-1.35323776196209,1.61096341666148
2024.75,1.4,0.0269782085362144,1.61898116492466
2025,1.7,0.882038392831101,1.62551228594914
2025.25,1.6,1.32881271163329,1.62961786341235
2025.5,1.4,1.31022100680505,1.63772021976489
2025.75,1.2,1.19449822784597,1.62820208746291
2026,0.3,1.21616089359088,1.61231395105031
